=== Host Summary ===

Hostname,ProjecteAsix
Platform,Linux 6.8.0-111-generic
IPs,"127.0.0.1, 172.17.0.1, 192.168.1.72, fe80::be24:11ff:fe54:638a, localhost"
Uptime,"up 2 weeks, 3 days, 2 hours, 26 minutes"
CPU Cores,5
Load (1/5/15),0.12/0.04/0.01
Memory,752.3 MB / 3.3 GB (22.2%)
Generated (UTC),2026-05-19T16:01:09

=== Trivy - Vulnerabilities (HIGH/CRITICAL) ===

Severity,Package,Installed,Fixed,CVE,Title
HIGH,linux-headers-6.8.0-110,6.8.0-110.110,6.8.0-111.111,CVE-2026-23112,kernel: nvmet-tcp: add bounds checks in nvmet_tcp_build_pdu_iovec
HIGH,linux-headers-6.8.0-110,6.8.0-110.110,6.8.0-111.111,CVE-2026-23231,kernel: kernel: Privilege escalation or denial of service via use-after-free in nf_tables_addchain()
HIGH,linux-headers-6.8.0-110-generic,6.8.0-110.110,6.8.0-111.111,CVE-2026-23112,kernel: nvmet-tcp: add bounds checks in nvmet_tcp_build_pdu_iovec
HIGH,linux-headers-6.8.0-110-generic,6.8.0-110.110,6.8.0-111.111,CVE-2026-23231,kernel: kernel: Privilege escalation or denial of service via use-after-free in nf_tables_addchain()
HIGH,linux-modules-6.8.0-110-generic,6.8.0-110.110,6.8.0-111.111,CVE-2026-23112,kernel: nvmet-tcp: add bounds checks in nvmet_tcp_build_pdu_iovec
HIGH,linux-modules-6.8.0-110-generic,6.8.0-110.110,6.8.0-111.111,CVE-2026-23231,kernel: kernel: Privilege escalation or denial of service via use-after-free in nf_tables_addchain()
HIGH,linux-modules-extra-6.8.0-110-generic,6.8.0-110.110,6.8.0-111.111,CVE-2026-23112,kernel: nvmet-tcp: add bounds checks in nvmet_tcp_build_pdu_iovec
HIGH,linux-modules-extra-6.8.0-110-generic,6.8.0-110.110,6.8.0-111.111,CVE-2026-23231,kernel: kernel: Privilege escalation or denial of service via use-after-free in nf_tables_addchain()
HIGH,linux-tools-6.8.0-110,6.8.0-110.110,6.8.0-111.111,CVE-2026-23112,kernel: nvmet-tcp: add bounds checks in nvmet_tcp_build_pdu_iovec
HIGH,linux-tools-6.8.0-110,6.8.0-110.110,6.8.0-111.111,CVE-2026-23231,kernel: kernel: Privilege escalation or denial of service via use-after-free in nf_tables_addchain()
HIGH,linux-tools-6.8.0-110-generic,6.8.0-110.110,6.8.0-111.111,CVE-2026-23112,kernel: nvmet-tcp: add bounds checks in nvmet_tcp_build_pdu_iovec
HIGH,linux-tools-6.8.0-110-generic,6.8.0-110.110,6.8.0-111.111,CVE-2026-23231,kernel: kernel: Privilege escalation or denial of service via use-after-free in nf_tables_addchain()
HIGH,cross-spawn,7.0.3,"7.0.5, 6.0.6",CVE-2024-21538,cross-spawn: regular expression denial of service
HIGH,glob,10.4.2,"11.1.0, 10.5.0",CVE-2025-64756,glob: glob: Command Injection Vulnerability via Malicious Filenames
HIGH,minimatch,9.0.5,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",CVE-2026-26996,minimatch: minimatch: Denial of Service via specially crafted glob patterns
HIGH,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",CVE-2026-27903,minimatch: minimatch: Denial of Service due to unbounded recursive backtracking via crafted glob patterns
HIGH,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",CVE-2026-27904,minimatch: Minimatch: Denial of Service via catastrophic backtracking in glob expressions
HIGH,tar,6.2.1,7.5.3,CVE-2026-23745,node-tar: tar: node-tar: Arbitrary file overwrite and symlink poisoning via unsanitized linkpaths in archives
HIGH,tar,6.2.1,7.5.4,CVE-2026-23950,node-tar: tar: node-tar: Arbitrary file overwrite via Unicode path collision race condition
HIGH,tar,6.2.1,7.5.7,CVE-2026-24842,node-tar: tar: node-tar: Arbitrary file creation via path traversal bypass in hardlink security check
HIGH,tar,6.2.1,7.5.8,CVE-2026-26960,node-tar: node-tar: Arbitrary file read/write via malicious archive hardlink creation
HIGH,tar,6.2.1,7.5.10,CVE-2026-29786,node-tar: hardlink path traversal via drive-relative linkpath
HIGH,tar,6.2.1,7.5.11,CVE-2026-31802,tar: tar: File overwrite via drive-relative symlink traversal
HIGH,Scrapy,2.14.1,-,CVE-2017-14158,Scrapy 1.4 allows remote attackers to cause a denial of service (memor ...
HIGH,Scrapy,2.14.1,2.14.2,GHSA-cwxj-rr6w-m6w7,Scrapy: Arbitrary Module Import via Referrer-Policy Header in RefererMiddleware
HIGH,cryptography,46.0.3,46.0.5,CVE-2026-26007,cryptography: cryptography Subgroup Attack Due to Missing Subgroup Validation for SECT Curves
HIGH,cryptography,46.0.3,46.0.5,CVE-2026-26007,cryptography: cryptography Subgroup Attack Due to Missing Subgroup Validation for SECT Curves
HIGH,lxml,6.0.2,6.1.0,CVE-2026-41066,lxml: python: lxml: Information disclosure via untrusted XML input leading to local file read
HIGH,lxml,6.0.2,6.1.0,CVE-2026-41066,lxml: python: lxml: Information disclosure via untrusted XML input leading to local file read
HIGH,pillow,11.3.0,12.1.1,CVE-2026-25990,pillow: Pillow: Out-of-bounds Write via Specially Crafted PSD Image
HIGH,pillow,11.3.0,12.2.0,CVE-2026-40192,Pillow: Pillow: Denial of Service via decompression bomb in FITS image processing
HIGH,pillow,11.3.0,12.2.0,CVE-2026-42311,Pillow is a Python imaging library. From version 10.3.0 to before vers ...
HIGH,pillow,12.0.0,12.1.1,CVE-2026-25990,pillow: Pillow: Out-of-bounds Write via Specially Crafted PSD Image
HIGH,pillow,12.0.0,12.2.0,CVE-2026-40192,Pillow: Pillow: Denial of Service via decompression bomb in FITS image processing
HIGH,pillow,12.0.0,12.2.0,CVE-2026-42311,Pillow is a Python imaging library. From version 10.3.0 to before vers ...
HIGH,protobuf,6.33.4,"6.33.5, 5.29.6",CVE-2026-0994,python: protobuf: Protobuf: Denial of Service due to recursion depth bypass
HIGH,protobuf,6.33.4,"6.33.5, 5.29.6",CVE-2026-0994,python: protobuf: Protobuf: Denial of Service due to recursion depth bypass
HIGH,pyOpenSSL,25.3.0,26.0.0,CVE-2026-27459,pyOpenSSL: DTLS cookie callback buffer overflow
HIGH,pyasn1,0.6.1,0.6.2,CVE-2026-23490,pyasn1: pyasn1: Denial of Service due to memory exhaustion from malformed RELATIVE-OID
HIGH,pyasn1,0.6.1,0.6.3,CVE-2026-30922,pyasn1: pyasn1 Vulnerable to Denial of Service via Unbounded Recursion
HIGH,ujson,5.11.0,5.12.0,CVE-2026-32874,UltraJSON: UltraJSON: Denial of Service due to memory leak when parsing large integers
HIGH,ujson,5.11.0,5.12.0,CVE-2026-32874,UltraJSON: UltraJSON: Denial of Service due to memory leak when parsing large integers
HIGH,ujson,5.11.0,5.12.0,CVE-2026-32875,ultrajson: UltraJSON: Denial of Service via large indent parameter in JSON serialization
HIGH,ujson,5.11.0,5.12.0,CVE-2026-32875,ultrajson: UltraJSON: Denial of Service via large indent parameter in JSON serialization
HIGH,urllib3,2.6.1,2.6.3,CVE-2026-21441,urllib3: urllib3 vulnerable to decompression-bomb safeguard bypass when following HTTP redirects (streaming API)
HIGH,urllib3,2.6.1,2.7.0,CVE-2026-44431,urllib3: Sensitive headers forwarded across origins in proxied low-level redirects
HIGH,urllib3,2.6.1,2.7.0,CVE-2026-44432,urllib3: Decompression-bomb safeguards bypassed in parts of the streaming API
HIGH,weasyprint,66.0,68.0,CVE-2025-68616,WeasyPrint: WeasyPrint Server-Side Request Forgery (SSRF)
HIGH,weasyprint,66.0,68.0,CVE-2025-68616,WeasyPrint: WeasyPrint Server-Side Request Forgery (SSRF)
HIGH,wheel,0.45.1,0.46.2,CVE-2026-24049,wheel: wheel: Privilege Escalation or Arbitrary Code Execution via malicious wheel file unpacking
HIGH,stdlib,v1.25.7,"1.25.8, 1.26.1",CVE-2026-25679,net/url: Incorrect parsing of IPv6 host literals in net/url
HIGH,stdlib,v1.25.7,"1.25.9, 1.26.2",CVE-2026-32280,crypto/x509: crypto/tls: golang: Go: Denial of Service vulnerability in certificate chain building
HIGH,stdlib,v1.25.7,"1.25.9, 1.26.2",CVE-2026-32281,crypto/x509: golang: Go crypto/x509: Denial of Service via inefficient certificate chain validation
HIGH,stdlib,v1.25.7,"1.25.9, 1.26.2",CVE-2026-32283,crypto/tls: golang: Go crypto/tls: Denial of Service via multiple TLS 1.3 key update messages
HIGH,stdlib,v1.25.7,"1.25.10, 1.26.3",CVE-2026-33811,"When using LookupCNAME with the cgo DNS resolver, a very long CNAME re ..."
HIGH,stdlib,v1.25.7,"1.25.10, 1.26.3",CVE-2026-33814,"When processing HTTP/2 SETTINGS frames, transport will enter an infini ..."
HIGH,stdlib,v1.25.7,"1.25.10, 1.26.3",CVE-2026-39820,"Well-crafted inputs reaching ParseAddress, ParseAddressList, and Parse ..."
HIGH,stdlib,v1.25.7,"1.25.10, 1.26.3",CVE-2026-39836,Panic in Dial and LookupPort when handling NUL byte on Windows in net
HIGH,stdlib,v1.25.7,"1.25.10, 1.26.3",CVE-2026-42499,Pathological inputs could cause DoS through consumePhrase when parsing ...
HIGH,stdlib,v1.24.13,"1.25.8, 1.26.1",CVE-2026-25679,net/url: Incorrect parsing of IPv6 host literals in net/url
HIGH,stdlib,v1.24.13,"1.25.9, 1.26.2",CVE-2026-32280,crypto/x509: crypto/tls: golang: Go: Denial of Service vulnerability in certificate chain building
HIGH,stdlib,v1.24.13,"1.25.9, 1.26.2",CVE-2026-32281,crypto/x509: golang: Go crypto/x509: Denial of Service via inefficient certificate chain validation
HIGH,stdlib,v1.24.13,"1.25.9, 1.26.2",CVE-2026-32283,crypto/tls: golang: Go crypto/tls: Denial of Service via multiple TLS 1.3 key update messages
HIGH,stdlib,v1.24.13,"1.25.10, 1.26.3",CVE-2026-33811,"When using LookupCNAME with the cgo DNS resolver, a very long CNAME re ..."
HIGH,stdlib,v1.24.13,"1.25.10, 1.26.3",CVE-2026-33814,"When processing HTTP/2 SETTINGS frames, transport will enter an infini ..."
